Title,US Gross,,,,
Rambo III,53715611,,,,
Romeo+Juliet,46338728,,,,
Ramanujan,0,,,,
Rain Man,172825435,,,,
Rapa Nui,305070,,,,
Roar,2000000,,,,
The Robe,36000000,,,,
The Rock,134069511,,,,
The Remains of the Day,22954968,,,,
Airplane!,83453539,,,,
Repo Man,2300000,,,,
Rocket Singh: Salesman of the Year,164649,,,,
Raise the Titanic,7000000,,,,
Restoration,4100000,,,,
The Return of the Living Dead,14237880,,,,
Rejsen til Saturn,0,,,,
Return to the Land of Wonders,1338,,,,
Return to Oz,10618813,,,,
The Running Man,38122000,,,,
Run Lola Run,7267324,,,,
Revolution#9,9118,,,,
The River Wild,46815000,,,,
Se7en,100125643,,,,
Safe Men,21210,,,,
Secrets & Lies,13417292,,,,
Sgt. Bilko,30356589,,,,
Sabrina,53458319,,,,
Subway,390659,,,,
School Daze,14545844,,,,
Scarface,44942821,,,,
Schindler's List,96067179,,,,
A Streetcar Named Desire,8000000,,,,
Shadow Conspiracy,2154540,,,,
Short Cut to Nirvana: Kumbh Mela,381225,,,,
Spartacus,30000000,,,,
Sunday,410919,,,,
She Done Him Wrong,2000000,,,,
"Secret, The",0,,,,
Sea Rex 3D: Journey to a Prehistoric World,0,,,,
State Fair,3500000,,,,
Sticky Fingers of Time,18195,,,,
Stargate - The Ark of Truth,0,,,,
She's Gotta Have It,7137502,,,,
Stargate,71565669,,,,
The Shadow,31835600,,,,
Show Boat,11000000,,,,
Shadowlands,25842377,,,,
Shanghai Surprise,2315000,,,,
Shalako,2620000,,,,
Sheena,5778353,,,,
Shine,35811509,,,,
The Shining,44017374,,,,
Haakon Haakonsen,15024232,,,,
Ishtar,14375181,,,,
Showgirls,20254932,,,,
The Shawshank Redemption,28241469,,,,
Silver Bullet,10803211,,,,
Side Effects,44701,,,,
Set It Off,36049108,,,,
The Silence of the Lambs,130726716,,,,
Silver Medalist,0,,,,
Silent Trigger,76382,,,,
Thinner,15171475,,,,
Sling Blade,24475416,,,,
Slacker,1227508,,,,
Some Like it Hot,25000000,,,,
The Scarlet Letter,10359006,,,,
Silmido,298347,,,,
Sleeper,18344729,,,,
Sleepers,53300852,,,,
The Slaughter Rule,13134,,,,
Solomon and Sheba,11000000,,,,
Sur Le Seuil,2013052,,,,
The Usual Suspects,23341568,,,,
Silverado,33200000,,,,
Salvador,1500000,,,,
"Sex, Lies, and Videotape",24741667,,,,
Show Me,0,,,,
Simon,4055,,,,
Super Mario Bros.,20844907,,,,
Somewhere in Time,9709597,,,,
Smoke Signals,6719300,,,,
Serial Mom,7881335,,,,
Sommersturm,95204,,,,
Silent Movie,36145695,,,,
The Santa Clause,144833357,,,,
The Singles Ward,1250798,,,,
Sense and Sensibility,42993774,,,,
Singin' in the Rain,3600000,,,,
Solitude,6260,,,,
The Sound of Music,163214286,,,,
She's the One,9482579,,,,
Straight out of Brooklyn,2712293,,,,
Spaceballs,38119483,,,,
Speed,121248145,,,,
Species,60054449,,,,
Sphinx,2000000,,,,
Spaced Invaders,15000000,,,,
Spellbound,7000000,,,,
Splash,62599495,,,,
Superman IV: The Quest for Peace,11227824,,,,
Superman II,108185706,,,,
Superman III,59950623,,,,
Sparkler,5494,,,,
Superman,134218018,,,,
The Specialist,57362581,,,,
The Sorcerer,12000000,,,,
Sisters in Law,33312,,,,
Smilla's Sense of Snow,2221994,,,,
Assassins,30306268,,,,
Star Trek: The Motion Picture,82258456,,,,
Star Trek III: The Search for Spock,76471046,,,,
Star Trek IV: The Voyage Home,109713132,,,,
Stand by Me,52287414,,,,
Stone Cold,9286314,,,,
The Stewardesses,13500000,,,,
Street Fighter,33423000,,,,
Star Trek II: The Wrath of Khan,79912963,,,,
Steal (Canadian Release),220944,,,,
The Sting,159616327,,,,
Stonewall,304602,,,,
Star Trek V: The Final Frontier,52210049,,,,
Star Trek VI: The Undiscovered Country,74888996,,,,
Star Trek: Generations,75671262,,,,
Stripes,85300000,,,,
Striptease,32773011,,,,
Star Wars Ep. IV: A New Hope,460998007,,,,
Saints and Soldiers,1310470,,,,
Steppin: The Movie,0,,,,
Strangers on a Train,7000000,,,,
Sugar Hill,18272447,,,,
Stiff Upper Lips,69582,,,,
Shichinin no samurai,271736,,,,
Sweet Charity,8000000,,,,
Sands of Iwo Jima,7800000,,,,
The Spy Who Loved Me,46800000,,,,
The Swindle,245359,,,,
Swingers,4505922,,,,
Snow White and the Seven Dwarfs,184925485,,,,
The Sweet Hereafter,4306697,,,,
She Wore a Yellow Ribbon,5400000,,,,
Sex with Strangers,247740,,,,
Spy Hard,26936265,,,,
Shi Yue Wei Cheng,0,,,,
Tango,1687311,,,,
The Age of Innocence,32014993,,,,
Talk Radio,3468572,,,,
The Texas Chainsaw Massacre,26572439,,,,
The Texas Chainsaw Massacre 2,8025872,,,,
Timecop,44853581,,,,
Tin Cup,53854588,,,,
Torn Curtain,13000000,,,,
To Die For,21284514,,,,
Terror Train,8000000,,,,
Teen Wolf Too,7888000,,,,
The Fan,18582965,,,,
Timber Falls,0,,,,
Tae Guik Gi: The Brotherhood of War,1110186,,,,
The Incredibly True Adventure of Two Girls in Love,2210408,,,,
There Goes My Baby,125169,,,,
Tank Girl,4064333,,,,
Top Gun,176786701,,,,
Thunderball,63600000,,,,
The Calling,0,,,,
The Craft,24769466,,,,
It Happened One Night,2500000,,,,
The Net,50621733,,,,
La otra conquista,886410,,,,
The Journey,19800,,,,
They Live,13000000,,,,
Tales from the Hood,11784569,,,,
Time Bandits,37400000,,,,
Tombstone,56505000,,,,
Time Changer,1500711,,,,
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813,,,,
Teenage Mutant Ninja Turtles III,42273609,,,,
Tango & Cash,63408614,,,,
Teenage Mutant Ninja Turtles,135265915,,,,
Topaz,6000000,,,,
Taps,35856053,,,,
Trainspotting,16501785,,,,
The Train,6800000,,,,
Troop Beverly Hills,7190505,,,,
Trekkies,617172,,,,
True Lies,146282411,,,,
Terminator 2: Judgment Day,204859496,,,,
Travellers and Magicians,506793,,,,
The Terminator,38019031,,,,
Tremors,16667084,,,,
True Romance,12281000,,,,
Tron,26918576,,,,
Trapeze,14400000,,,,
The Terrorist,195043,,,,
Trois,1161843,,,,
Things to Do in Denver when You're Dead,529766,,,,
A Time to Kill,108766007,,,,
Total Recall,119394839,,,,
This Thing of Ours,37227,,,,
Tootsie,177200000,,,,
That Thing You Do!,25857416,,,,
The Trouble With Harry,7000000,,,,
Twins,111936388,,,,
Twister,241888385,,,,
Towering Inferno,116000000,,,,
Taxi Driver,21100000,,,,
Tycoon,121016,,,,
Toy Story,191796233,,,,
Twilight Zone: The Movie,29500000,,,,
Unforgettable,2483790,,,,
UHF,6157157,,,,
Ulee's Gold,9054736,,,,
Under Siege 2: Dark Territory,50024083,,,,
The Untouchables,76270454,,,,
Under the Rainbow,18826490,,,,
Veer-Zaara,2938532,,,,
Videodrome,2120439,,,,
Les Visiteurs,659000,,,,
"Couloirs du temps: Les visiteurs 2, Les",146072,,,,
The Valley of Decision,9132000,,,,
Vampire in Brooklyn,19637147,,,,
The Verdict,53977250,,,,
Virtuosity,23998226,,,,
Everything Put Together,0,,,,
A View to a Kill,50327960,,,,
The Work and the Glory: American Zion,2025032,,,,
A Walk on the Moon,4741987,,,,
The Work and the Glory,3347647,,,,
The Work and the Story,16137,,,,
What the #$'! Do We Know,10941801,,,,
Waiting for Guffman,2922988,,,,
Who Framed Roger Rabbit?,154112492,,,,
White Fang,34729091,,,,
White Squall,10229300,,,,
What's Eating Gilbert Grape,9170214,,,,
Witchboard,7369373,,,,
The Wiz,13000000,,,,
Walking and Talking,1287480,,,,
The Wild Bunch,509424,,,,
Wall Street,43848100,,,,
Waterloo,Unknown,,,,
The Wrong Man,2000000,,,,
Woman Chaser,110719,,,,
Wings,Unknown,,,,
We're No Angels,10555348,,,,
Wolf,65011757,,,,
Warriors of Virtue,6448817,,,,
War Games,74433837,,,,
Warlock,8824553,,,,
War and Peace,12500000,,,,
Warlock: The Armageddon,3902679,,,,
Wasabi,81525,,,,
West Side Story,43700000,,,,
When The Cat's Away,1652472,,,,
Welcome to the Dollhouse,4198137,,,,
Witness,65532576,,,,
Waterworld,88246220,,,,
Willy Wonka & the Chocolate Factory,4000000,,,,
Wayne's World,121697323,,,,
Wyatt Earp,25052000,,,,
The Wizard of Oz,28202232,,,,
Executive Decision,56679192,,,,
Exodus,21750000,,,,
The Exorcist,204632868,,,,
Extreme Measures,17378193,,,,
You Can't Take It With You,4000000,,,,
Eye for an Eye,26792700,,,,
Young Guns,44726644,,,,
Young Frankenstein,86300000,,,,
Yentl,39012241,,,,
You Only Live Twice,43100000,,,,
Ayurveda: Art of Being,16892,,,,
Young Sherlock Holmes,19739000,,,,
102 Dalmatians,66941559,,,,
Ten Things I Hate About You,38177966,,,,
"10,000 B.C.",94784201,,,,
10th & Wolf,54702,,,,
11:14,0,,,,
Cloverfield,80048433,,,,
12 Rounds,12234694,,,,
Thirteen Conversations About One Thing,3287435,,,,
13 Going On 30,57139723,,,,
Thirteen Ghosts,41867960,,,,
1408,71985628,,,,
15 Minutes,24375436,,,,
16 to Life,10744,,,,
16 Blocks,36895141,,,,
One Man's Hero,229311,,,,
First Daughter,9055010,,,,
2012,166112167,,,,
2046,1442338,,,,
20 Dates,541636,,,,
21,81159365,,,,
21 Grams,16248701,,,,
25th Hour,13084595,,,,
28 Days,37035515,,,,
28 Days Later...,45064915,,,,
28 Weeks Later,28638916,,,,
Two Brothers,18947630,,,,
Cop Out,44875481,,,,
Two Lovers,3149034,,,,
2 For the Money,22991379,,,,
Secondhand Lions,42023715,,,,
Two Can Play That Game,22235901,,,,
Two Weeks Notice,93354918,,,,
300,210614939,,,,
30 Days of Night,39568996,,,,
Three Kings,60652036,,,,
3000 Miles to Graceland,15738632,,,,
3 Strikes,9821335,,,,
3:10 to Yuma,53606916,,,,
40 Days and 40 Nights,37939782,,,,
The 40 Year-old Virgin,109449237,,,,
Four Brothers,74494381,,,,
Four Christmases,120146040,,,,
The Four Feathers,18306166,,,,
The Fourth Kind,26218170,,,,
"4 luni, 3 saptamani si 2 zile",1196321,,,,
50 First Dates,120776832,,,,
Six-String Samurai,134624,,,,
The 6th Day,34543701,,,,
Seven Pounds,69951824,,,,
88 Minutes,16930884,,,,
Eight Below,81612565,,,,
Eight Legged Freaks,17266505,,,,
8 Mile,116724075,,,,
8 femmes,3076425,,,,
9,31749894,,,,
Nine Queens,1222889,,,,
The Whole Ten Yards,16323969,,,,
The Whole Nine Yards,57262492,,,,
About a Boy,40803000,,,,
A Bug's Life,162798565,,,,
Abandon,10719367,,,,
Absolute Power,50068310,,,,
Tristram Shandy: A Cock and Bull Story,1253413,,,,
Adoration,294244,,,,
Adaptation,22498520,,,,
Anything Else,3203044,,,,
Antwone Fisher,21078145,,,,
Aeon Flux,25857987,,,,
After the Sunset,28328132,,,,
A Good Year,7459300,,,,
Agora,599903,,,,
Air Bud,24646936,,,,
Air Force One,172956409,,,,
Akeelah and the Bee,18848430,,,,
All the King's Men,7221458,,,,
The Alamo,22406362,,,,
All About the Benjamins,25482931,,,,
Albino Alligator,353480,,,,
Sweet Home Alabama,127214072,,,,
Fat Albert,48114556,,,,
Alice in Wonderland,334191110,,,,
Alfie,13395939,,,,
It's All Gone Pete Tong,120620,,,,
Ali,58183966,,,,
Alien: Resurrection,47795018,,,,
Alien,80930630,,,,
A Lot Like Love,21835784,,,,
All the Pretty Horses,15527125,,,,
Almost Famous,32522352,,,,
Evan Almighty,100289690,,,,
Bruce Almighty,242704995,,,,
All or Nothing,184255,,,,
Alone in the Dark,5178569,,,,
Alpha and Omega 3D,10115431,,,,
Along Came a Spider,74058698,,,,
The Dangerous Lives of Altar Boys,1779284,,,,
Alatriste,0,,,,
Alvin and the Chipmunks,217326974,,,,
Alex & Emma,14208384,,,,
Alexander,34297191,,,,
El Crimen de Padre,5719000,,,,
American Beauty,130058047,,,,
An American Carol,7013191,,,,
American Dreamz,7314027,,,,
Amelia,14246488,,,,
Le Fabuleux destin d'AmÈlie Poulain,33201661,,,,
American History X,6719864,,,,
American Gangster,130164645,,,,
An American Haunting,16298046,,,,
Amistad,44212592,,,,
AimÈe & Jaguar,927107,,,,
Amores Perros,5383834,,,,
American Pie 2,145096820,,,,
American Wedding,104354205,,,,
American Pie,101800948,,,,
American Psycho,15070285,,,,
American Splendor,6003587,,,,
America's Sweethearts,93607673,,,,
The Amityville Horror,65233369,,,,
Anacondas: The Hunt for the Blood Orchid,31526393,,,,
Anaconda,65598907,,,,
Anastasia,58403409,,,,
Anchorman: The Legend of Ron Burgundy,84136909,,,,
Angels & Demons,133375846,,,,
Angela's Ashes,13038660,,,,
Angel Eyes,24044532,,,,
Anger Management,135560942,,,,
A Night at the Roxbury,30331165,,,,
The Animal,55762229,,,,
Anna and the King,39251128,,,,
Analyze That,32122249,,,,
Analyze This,106885658,,,,
The Ant Bully,28142535,,,,
Antitrust,10965209,,,,
Marie Antoinette,15962471,,,,
Antz,90757863,,,,
Anywhere But Here,18653615,,,,
Appaloosa,20211394,,,,
Apocalypto,50866635,,,,
Pieces of April,2528664,,,,
The Apostle,20733485,,,,
Aquamarine,18597342,,,,
Ararat,1693000,,,,
Are We There Yet?,82674398,,,,
Arlington Road,24419219,,,,
Armageddon,201578182,,,,
Hey Arnold! The Movie,13684949,,,,
Against the Ropes,5881504,,,,
King Arthur,51877963,,,,
Arthur et les Minimoys,15132763,,,,
Artificial Intelligence: AI,78616689,,,,
The Art of War,30199105,,,,
Astro Boy,19551067,,,,
A Serious Man,9228788,,,,
The Astronaut Farmer,11003643,,,,
As Good as it Gets,148478011,,,,
A Single Man,9176000,,,,
A Simple Plan,16316273,,,,
Assault On Precinct 13,20040895,,,,
The Astronaut's Wife,10672566,,,,
The A-Team,77222099,,,,
At First Sight,22365133,,,,
Aqua Teen Hunger Force: The Movie,5520368,,,,
ATL,21170563,,,,
Atlantis: The Lost Empire,84052762,,,,
Hearts in Atlantis,24185781,,,,
Autumn in New York,37752931,,,,
Atonement,50980159,,,,
The Rules of Attraction,6525762,,,,
August Rush,31664162,,,,
Across the Universe,24343673,,,,
Austin Powers: The Spy Who Shagged Me,206040085,,,,
Austin Powers in Goldmember,213117789,,,,
Austin Powers: International Man of Mystery,53883989,,,,
Australia,49551662,,,,
Auto Focus,2062066,,,,
Avatar,760167650,,,,
The Avengers,23385416,,,,
The Aviator,102608827,,,,
AVP: Alien Vs. Predator,80281096,,,,
Around the World in 80 Days,24004159,,,,
Awake,14373825,,,,
And When Did You Last See Your Father?,1071240,,,,
Away We Go,9451946,,,,
Don't Say a Word,54997476,,,,
Babe: Pig in the City,18319860,,,,
Babel,34302837,,,,
Babylon A.D.,22532572,,,,
My Baby's Daddy,17321573,,,,
Super Babies: Baby Geniuses 2,9109322,,,,
Baby Geniuses,27151490,,,,
Bad Boys II,138540870,,,,
Bad Company,30157016,,,,
La mala educaciÛn,5211842,,,,
Bad Lieutenant: Port of Call New Orleans,1702112,,,,
The Bad News Bears,32868349,,,,
Burn After Reading,60355347,,,,
Bait,15325127,,,,
Boys and Girls,21799652,,,,
Black and White,5241315,,,,
Bangkok Dangerous,15298133,,,,
The Banger Sisters,30306281,,,,
Les invasions barbares,8460000,,,,
Barney's Great Adventure,11156471,,,,
Basic Instinct 2,5946136,,,,
Basic,26599248,,,,
Batman Begins,205343774,,,,
Battlefield Earth: A Saga of the Year 3000,21471685,,,,
The Dark Knight,533345358,,,,
Bats,10155691,,,,
The Battle of Shaker Heights,280351,,,,
Baby Boy,28734552,,,,
The Curious Case of Benjamin Button,127509326,,,,
Baby Mama,60494212,,,,
Bless the Child,29374178,,,,
The Bachelor,21731001,,,,
The Broken Hearts Club: A Romantic Comedy,1744858,,,,
Be Cool,55849401,,,,
Big Daddy,163479795,,,,
Bedazzled,37879996,,,,
Body of Lies,39394666,,,,
Blood Diamond,57377916,,,,
Mr. Bean's Holiday,33302167,,,,
Beautiful,3134509,,,,
Beavis and Butt-head Do America,63118386,,,,
Bend it Like Beckham,32543449,,,,
In the Bedroom,35930604,,,,
Bee Movie,126631277,,,,
Artie Lange's Beer League,475000,,,,
Being John Malkovich,22858926,,,,
Behind Enemy Lines,58855732,,,,
Bella,8093373,,,,
Beloved,22852487,,,,
Les Triplettes de Belleville,7301288,,,,
Beyond the Mat,2047570,,,,
The Benchwarmers,59843754,,,,
The Last Airbender,131591957,,,,
Beowulf,82195215,,,,
The Importance of Being Earnest,8378141,,,,
Beauty Shop,36351350,,,,
Better Luck Tomorrow,3802390,,,,
Big Fat Liar,47811275,,,,
Big Fish,66432867,,,,
Before Sunset,5792822,,,,
The Big Hit,27066941,,,,
Birthday Girl,4919896,,,,
The Big Lebowski,17498804,,,,
Big Momma's House,117559438,,,,
Black Hawk Down,108638745,,,,
Eye of the Beholder,16500786,,,,
The Big Bounce,6471394,,,,
Big Trouble,7262288,,,,
Billy Elliot,21995263,,,,
Bicentennial Man,58220776,,,,
Birth,5005899,,,,
Becoming Jane,18663911,,,,
Bridget Jones: The Edge Of Reason,40203020,,,,
Bridget Jones's Diary,71500556,,,,
The Bank Job,30060660,,,,
Blade,70141876,,,,
The Blair Witch Project,140539099,,,,
Blast from the Past,26613620,,,,
Blade 2,81676888,,,,
Blade: Trinity,52397389,,,,
Blades of Glory,118594548,,,,
The Blind Side,255959475,,,,
Blood Work,26199517,,,,
Zwartboek,4398392,,,,
Black Christmas,16235738,,,,
Black Snake Moan,9396870,,,,
Black Water Transit,0,,,,
Blindness,3073392,,,,
"Legally Blonde 2: Red, White & Blonde",90639088,,,,
Legally Blonde,96493426,,,,
Blood and Wine,1083350,,,,
Blow,52990775,,,,
Ballistic: Ecks vs. Sever,14294842,,,,
Blue Crush,40118420,,,,
Bamboozled,2185266,,,,
A Beautiful Mind,170708996,,,,
Big Momma's House 2,70165972,,,,
"Story of Bonnie and Clyde, The",0,,,,
The Boondock Saints,30471,,,,
Bandidas,0,,,,
Bandits,41523271,,,,
Bobby,11242801,,,,
The Book of Eli,94835059,,,,
Boogeyman,46752382,,,,
Bolt,114053579,,,,
The Other Boleyn Girl,26814957,,,,
The Bone Collector,66488090,,,,
Bones,7316658,,,,
Bon Voyage,2353728,,,,
Boogie Nights,26410771,,,,
Borat,128505958,,,,
The Bourne Identity,121468960,,,,
The Bourne Supremacy,176087450,,,,
The Bourne Ultimatum,227471070,,,,
The Borrowers,22619589,,,,
My Boss's Daughter,15549702,,,,
Bounce,36779296,,,,
Bowling for Columbine,21576018,,,,
Boys Don't Cry,11540607,,,,
The Boy in the Striped Pyjamas,9030581,,,,
Bulletproof Monk,23010607,,,,
Heartbreakers,40334024,,,,
Bride & Prejudice,6601079,,,,
Beyond Borders,4426297,,,,
Bride Wars,58715510,,,,
Breakfast of Champions,178287,,,,
Brigham City,852206,,,,
Brick,2075743,,,,
Bringing Out The Dead,16640210,,,,
Breakdown,50159144,,,,
Brooklyn's Finest,27163593,,,,
Brokeback Mountain,83043761,,,,
Breakin' All the Rules,12232382,,,,
The Break Up,118806699,,,,
An Alan Smithee Film: Burn Hollywood Burn,45779,,,,
Barney's Version,0,,,,
Brooklyn Rules,458232,,,,
Boiler Room,16963963,,,,
The Brothers Solomon,900926,,,,
The Brothers,27457409,,,,
Brown Sugar,27362712,,,,
Bright Star,4444637,,,,
Brother,450594,,,,
In Bruges,7800825,,,,
The Brown Bunny,366301,,,,
Barbershop 2: Back in Business,65070412,,,,
Barbershop,75781642,,,,
Best in Show,18621249,,,,
Bad Santa,60060328,,,,
Inglourious Basterds,120831050,,,,
Blue Streak,68208190,,,,
The Butterfly Effect,57924679,,,,
"O Brother, Where Art Thou",45506619,,,,
Batman & Robin,107325195,,,,
Boat Trip,8586376,,,,
Bubba Ho-Tep,1239183,,,,
Bubble,145382,,,,
Bubble Boy,5002310,,,,
Buffalo '66,2380606,,,,
Buffalo Soldiers,353743,,,,
Bulworth,26528684,,,,
W.,25534493,,,,
Bowfinger,66458769,,,,
Bewitched,63313159,,,,
Barnyard: The Original Party Animals,72779000,,,,
Beyond the Sea,6144806,,,,
Cabin Fever,21158188,,,,
CachÈ,3647381,,,,
Cadillac Records,8138000,,,,
Can't Hardly Wait,25358996,,,,
Capote,28750530,,,,
Sukkar banat,1060591,,,,
Disney's A Christmas Carol,137855863,,,,
The Rage: Carrie 2,17760244,,,,
Cars,244082982,,,,
Cast Away,233632142,,,,
Catch Me if You Can,164606800,,,,
The Cat in the Hat,101018283,,,,
Cats Don't Dance,3588602,,,,
Catwoman,40202379,,,,
Cecil B. Demented,1276984,,,,
The Country Bears,16988996,,,,
Center Stage,17200925,,,,
The Corpse Bride,53359111,,,,
Critical Care,220175,,,,
Connie & Carla,8047525,,,,
Collateral Damage,40048332,,,,
Crocodile Dundee in Los Angeles,25590119,,,,
Celebrity,5078660,,,,
The Cell,61280963,,,,
Cellular,32003620,,,,
City of Ember,7871693,,,,
Charlie and the Chocolate Factory,206459076,,,,
Catch a Fire,4299773,,,,
Charlie's Angels: Full Throttle,100814328,,,,
Charlie's Angels,125305545,,,,
Chasing Amy,12006514,,,,
Chicago,170687518,,,,
Chicken Little,135386665,,,,
Chicken Run,106793915,,,,
Cheaper by the Dozen,138614544,,,,
Cheaper by the Dozen 2,82571173,,,,
Cheri,2715657,,,,
Chill Factor,11263966,,,,
Bride of Chucky,32404188,,,,
Seed of Chucky,17016190,,,,
Children of Men,35552383,,,,
Chloe,3075255,,,,
Love in the Time of Cholera,4617608,,,,
Chocolat,71309760,,,,
The Children of Huang Shi,1031872,,,,
Les Choristes,3629758,,,,
Chairman of the Board,306715,,,,
Chuck&Buck,1055671,,,,
The Chumscrubber,49526,,,,
Charlotte's Web,82985708,,,,
Cinderella Man,61649911,,,,
A Cinderella Story,51438175,,,,
City of Angels,78750909,,,,
A Civil Action,56709981,,,,
CJ7,206678,,,,
The Cookout,11540112,,,,
The Claim,622023,,,,
The Santa Clause 2,139225854,,,,
Cold Mountain,95632614,,,,
Clean,138711,,,,
Click,137355633,,,,
Code Name: The Cleaner,8135024,,,,
Welcome to Collinwood,378650,,,,
Closer,33987757,,,,
Clerks II,24148068,,,,
Maid in Manhattan,93932896,,,,
It's Complicated,112735375,,,,
The Company,2281585,,,,
Constantine,75976178,,,,
The Contender,17804273,,,,
Die F‰lscher,5488570,,,,
Control,871577,,,,
Centurion,119621,,,,
Coach Carter,67264877,,,,
Confessions of a Dangerous Mind,16007718,,,,
Coco avant Chanel,6113834,,,,
Code 46,197148,,,,
Agent Cody Banks 2: Destination London,23514247,,,,
Agent Cody Banks,47545060,,,,
Collateral,100170152,,,,
College,4694491,,,,
Company Man,146028,,,,
Come Early Morning,119452,,,,
Con Air,101117573,,,,
Confidence,12212417,,,,
Conspiracy Theory,76118990,,,,
Contact,100920329,,,,
The Cooler,8291572,,,,
Copying Beethoven,355968,,,,
Corky Romano,23978402,,,,
Coraline,75286229,,,,
Confessions of a Teenage Drama Queen,29331068,,,,
The Covenant,23364784,,,,
Cop Land,44906632,,,,
Couples Retreat,109205660,,,,
Cradle Will Rock,2899970,,,,
Crank,27838408,,,,
Crash,3357324,,,,
The Crazies,39123589,,,,
Crazy in Alabama,1954202,,,,
The Crew,13019253,,,,
Cradle 2 the Grave,34657731,,,,
Crocodile Hunter: Collision Course,28436931,,,,
The In Crowd,5217498,,,,
The Corruptor,15164492,,,,
Man cheng jin dai huang jin jia,6566773,,,,
Crash,54557348,,,,
Crossover,7009668,,,,
Crossroads,37188667,,,,
The Count of Monte Cristo,54228104,,,,
Cruel Intentions,38230075,,,,
The Cry of the Owl,0,,,,
Cry Wolf,10047674,,,,
Crazy Heart,39462438,,,,
crazy/beautiful,16929123,,,,
The Last Castle,18208078,,,,
Clockstoppers,36985501,,,,
Catch That Kid,16703799,,,,
Cats & Dogs,93375151,,,,
The City of Your Final Destination,493296,,,,
Cidade de Deus,7563397,,,,
City of Ghosts,325491,,,,
City by the Sea,22433915,,,,
The Cube,489220,,,,
Coyote Ugly,60786269,,,,
Curious George,58640119,,,,
Cursed,19294901,,,,
Civil Brand,254293,,,,
Cloudy with a Chance of Meatballs,124870275,,,,
Charlie Wilson's War,66661095,,,,
Cyrus,7426671,,,,
Daddy Day Camp,13235267,,,,
Daddy Day Care,104148781,,,,
The Black Dahlia,22672813,,,,
Diary of a Mad Black Woman,50406346,,,,
Dance Flick,25662155,,,,
"Dancer, Texas Pop. 81",574838,,,,
Daredevil,102543518,,,,
Dark City,14435076,,,,
His Dark Materials: The Golden Compass,70107728,,,,
Donnie Darko,1270522,,,,
Dark Water,25473093,,,,
Win a Date with Tad Hamilton!,16980098,,,,
Date Movie,48548426,,,,
Date Night,98711404,,,,
Dawn of the Dead,58990765,,,,
Daybreakers,30101577,,,,
Day of the Dead,0,,,,
The Great Debaters,30226144,,,,
Double Jeopardy,116735231,,,,
Der Baader Meinhof Komplex,476270,,,,
Deep Blue Sea,73648228,,,,
Drive Me Crazy,17843379,,,,
Dave Chappelle's Block Party,11718595,,,,
Dancer in the Dark,4157491,,,,
Diary of the Dead,952620,,,,
Dear John,80014842,,,,
Dear Wendy,23106,,,,
D.E.B.S.,96793,,,,
Deconstructing Harry,10686841,,,,
Mr. Deeds,126293452,,,,
The Deep End of the Ocean,13508635,,,,
Deep Rising,11203026,,,,
"Definitely, Maybe",32241649,,,,
Death at a Funeral,42739347,,,,
DÈj‡ Vu,64038616,,,,
Delgo,915840,,,,
Despicable Me,244885070,,,,
Deuce Bigalow: European Gigolo,22400154,,,,
Deuce Bigalow: Male Gigolo,65535067,,,,
The Devil's Own,42885593,,,,
Darkness Falls,32539681,,,,
Defiance,28644813,,,,
A Dog of Flanders,2165637,,,,
Dragonfly,30063805,,,,
The Dead Girl,19875,,,,
The Lords of Dogtown,11273517,,,,
Dick,6276869,,,,
Live Free or Die Hard,134529403,,,,
Digimon: The Movie,9628751,,,,
Dirty Work,10020081,,,,
Banlieue 13,1200216,,,,
Disaster Movie,14190901,,,,
District 9,115646235,,,,
Disturbing Behavior,17507368,,,,
Le Scaphandre et le Papillon,5990075,,,,
Dark Blue,9237470,,,,
Dreaming of Joseph Lees,7680,,,,
De-Lovely,13337299,,,,
