Title,US Gross,,,,
Madea's Family Reunion,63257940,,,,
Dead Man on Campus,15064948,,,,
Drowning Mona,15427192,,,,
Diamonds,81897,,,,
Doomsday,11008770,,,,
Donkey Punch,19367,,,,
Dinosaur,137748063,,,,
DOA: Dead or Alive,480314,,,,
Doogal,7578946,,,,
Dogma,30651422,,,,
Domestic Disturbance,45207112,,,,
Domino,10169202,,,,
Donnie Brasco,41954997,,,,
Doom,28212337,,,,
Doubt,33422556,,,,
Doug's 1st Movie,19421271,,,,
Downfall,5501940,,,,
The Deep End,8823109,,,,
Deep Impact,140464664,,,,
The Departed,133311000,,,,
Dracula 2000,33000377,,,,
Death Race,36316032,,,,
Drag Me To Hell,42100625,,,,
"Crouching Tiger, Hidden Dragon",128067808,,,,
Derailed,36020063,,,,
Doctor Dolittle 2,112950721,,,,
Doctor Dolittle,144156605,,,,
Dickie Roberts: Former Child Star,22734486,,,,
Drillbit Taylor,32862104,,,,
Driving Lessons,239962,,,,
Driven,32616869,,,,
Darkness,22163442,,,,
I Dreamed of Africa,6543194,,,,
Dreamcatcher,33685268,,,,
Dreamgirls,103365956,,,,
Detroit Rock City,4217115,,,,
Drop Dead Gorgeous,10571408,,,,
Drumline,56398162,,,,
The Legend of Drunken Master,11546543,,,,
Dinner Rush,638227,,,,
The Descent,26024456,,,,
DysFunkTional Family,2255000,,,,
The Master of Disguise,40363530,,,,
Desert Blue,99147,,,,
Disturbia,80209692,,,,
Double Take,29823162,,,,
Death at a Funeral,8580428,,,,
Deterrence,144583,,,,
Dirty Pretty Things,8112414,,,,
Dudley Do-Right,9818792,,,,
Duets,4734235,,,,
The Dukes of Hazzard,80270227,,,,
Duma,870067,,,,
Dumb and Dumberer: When Harry Met Lloyd,26214846,,,,
Dungeons & Dragons 2: The Elemental Might,0,,,,
Dungeons and Dragons,15185241,,,,
Duplex,9652000,,,,
"You, Me and Dupree",75802010,,,,
Devil's Advocate,61007424,,,,
The Da Vinci Code,217536138,,,,
D-War,10977721,,,,
Deuces Wild,6044618,,,,
Down to Earth,64172251,,,,
Down to You,20035310,,,,
I'm Not There,4017609,,,,
Easy A,21056221,,,,
The Eclipse,133411,,,,
Edge of Darkness,43313890,,,,
EDtv,22508689,,,,
An Education,12574914,,,,
East is East,4170647,,,,
8 Heads in a Duffel Bag,3602884,,,,
Eagle Eye,101440743,,,,
8MM,36443442,,,,
Iris,5580479,,,,
Election,14943582,,,,
Elektra,24409722,,,,
Elf,173398518,,,,
Elizabeth,30082699,,,,
Ella Enchanted,22913677,,,,
Once Upon a Time in Mexico,56330657,,,,
The Adventures of Elmo in Grouchland,11634458,,,,
The Emperor's Club,14060950,,,,
Empire,17504595,,,,
La marche de l'empereur,77437223,,,,
Employee of the Month,28444855,,,,
The Emperor's New Groove,89296573,,,,
Enchanted,127706877,,,,
The End of the Affair,10660147,,,,
End of Days,66889043,,,,
End of the Spear,11748661,,,,
Enemy at the Gates,51396781,,,,
Enemy of the State,111549836,,,,
Entrapment,87707396,,,,
Enough,39177215,,,,
Envy,13548322,,,,
Epic Movie,39739367,,,,
Eragon,75030163,,,,
Erin Brockovich,125548685,,,,
Elizabethtown,26850426,,,,
Eat Pray Love,78146373,,,,
Eternal Sunshine of the Spotless Mind,34366518,,,,
Eulogy,70527,,,,
Eureka,49388,,,,
Eurotrip,17718223,,,,
Eve's Bayou,14843425,,,,
Event Horizon,26673242,,,,
Ever After: A Cinderella Story,65705772,,,,
Evita,50047179,,,,
Evolution,38311134,,,,
An Everlasting Piece,75078,,,,
Fong juk,51957,,,,
Exit Wounds,51758599,,,,
The Exorcism of Emily Rose,75072454,,,,
Exorcist: The Beginning,41814863,,,,
The Express,9793406,,,,
eXistenZ,2840417,,,,
Extract,10823158,,,,
Extreme Ops,4835968,,,,
Eyes Wide Shut,55691208,,,,
The Faculty,40283321,,,,
Failure to Launch,88715192,,,,
Keeping the Faith,37036404,,,,
Fame,22455510,,,,
The Family Stone,60062868,,,,
Lisa Picard is Famous,113433,,,,
Fantasia 2000 (Theatrical Release),9103630,,,,
Far From Heaven,15901849,,,,
Fascination,16670,,,,
Father's Day,28681080,,,,
Facing the Giants,10178331,,,,
Face/Off,112276146,,,,
Final Destination 2,46896664,,,,
Final Destination 3,54098051,,,,
The Final Destination,66477700,,,,
FearDotCom,13208023,,,,
Fear and Loathing in Las Vegas,10680275,,,,
Feast,56131,,,,
The Fifth Element,63570862,,,,
Femme Fatale,6592103,,,,
Bring it On,68353550,,,,
Fantastic Four,154696080,,,,
54,16757163,,,,
2 Fast 2 Furious,127120058,,,,
The Fast and the Furious,144512310,,,,
Fool's Gold,70231041,,,,
Fahrenheit 9/11,119114517,,,,
Capitalism: A Love Story,14363397,,,,
From Hell,31598308,,,,
Fido,298110,,,,
Fight Club,37030102,,,,
Final Fantasy: The Spirits Within,32131830,,,,
Finding Forrester,51768623,,,,
Freddy Got Fingered,14249005,,,,
Firestorm,8123860,,,,
Fish Tank,374675,,,,
Felicia's Journey,824295,,,,
From Justin to Kelly,4922166,,,,
Final Destination,53302314,,,,
Flags of Our Fathers,33602376,,,,
Flawless,4485485,,,,
Flammen og Citronen,148089,,,,
Flicka,21000147,,,,
Flight of the Phoenix,21009180,,,,
United 93,31567134,,,,
Flubber,92993801,,,,
Flushed Away,64665672,,,,
Flyboys,13090630,,,,
Fly Me To the Moon,14543943,,,,
Find Me Guilty,1173673,,,,
The Family Man,75764085,,,,
Friends with Money,13368437,,,,
Finding Nemo,339714978,,,,
Finishing the Game,52850,,,,
Foodfight!,0,,,,
Formula 51,5204007,,,,
The Fountain,10144010,,,,
Fantastic Four: Rise of the Silver Surfer,131921738,,,,
Farce of the Penguins,0,,,,
Flightplan,89706988,,,,
Frailty,13110448,,,,
The Forbidden Kingdom,52075270,,,,
Freedom Writers,36605602,,,,
Next Friday,57176582,,,,
Freaky Friday,110222438,,,,
Frequency,44983704,,,,
Serenity,25514517,,,,
The Forgotton,66711892,,,,
Jason X,13121555,,,,
Friday the 13th,65002019,,,,
Friday After Next,33253609,,,,
Frida,25885000,,,,
Friday Night Lights,61255921,,,,
Frozen River,2503902,,,,
The Princess and the Frog,104374107,,,,
Full Frontal,2512846,,,,
Fireproof,33451479,,,,
The Forsaken,6755271,,,,
Frost/Nixon,18622031,,,,
Factory Girl,1661464,,,,
Fateless,196857,,,,
The Full Monty,45950122,,,,
Fun With Dick And Jane,110550000,,,,
Funny People,51855045,,,,
Fur,223202,,,,
Furry Vengeance,17630465,,,,
Fever Pitch,42071069,,,,
For Your Consideration,5549923,,,,
The Game,48265581,,,,
Gangs of New York,77730500,,,,
Garfield,75367693,,,,
Georgia Rule,18882880,,,,
Gattaca,12532777,,,,
"Gone, Baby, Gone",20300218,,,,
"Goodbye, Lenin!",4063859,,,,
Good Boy!,37667746,,,,
Gods and Generals,12882934,,,,
The Good German,1308696,,,,
Gods and Monsters,6451628,,,,
The Good Night,22441,,,,
The Good Thief,3517797,,,,
George and the Dragon,0,,,,
Gerry,254683,,,,
G-Force,119436770,,,,
Gridiron Gang,38432823,,,,
The Good Girl,14018296,,,,
Ghost Ship,30113491,,,,
Ghosts of Mississippi,13052741,,,,
The Glass House,17951431,,,,
Ghost Rider,115802596,,,,
Ghost Town,13252641,,,,
The Gift,12008642,,,,
Gigli,6087542,,,,
G.I.Jane,48169156,,,,
G.I. Joe: The Rise of Cobra,150201498,,,,
"Girl, Interrupted",28871190,,,,
Gladiator,187683805,,,,
Glitter,4273372,,,,
Gloria,4167493,,,,
Good Luck Chuck,35017297,,,,
John Carpenter's Ghosts of Mars,8434601,,,,
The Green Mile,136801374,,,,
The Game of Their Lives,375474,,,,
"Gandhi, My Father",240425,,,,
Good Night and Good Luck,31501218,,,,
The General's Daughter,102705852,,,,
Gun Shy,1638202,,,,
Go!,16875273,,,,
Goal!,4283255,,,,
Godzilla 2000,10037390,,,,
Godsend,14334645,,,,
Godzilla,136314294,,,,
Smiling Fish and Goat on Fire,277233,,,,
Gone in 60 Seconds,101643008,,,,
Good,27276,,,,
Good Will Hunting,138433435,,,,
Gosford Park,41300105,,,,
Gossip,5108820,,,,
The Game Plan,90648202,,,,
Girl with a Pearl Earring,11634362,,,,
Galaxy Quest,71423726,,,,
Saving Grace,12178602,,,,
Gracie,2956339,,,,
The Great Raid,10166502,,,,
The Grand,115879,,,,
The Constant Gardener,33579798,,,,
Garden State,26782316,,,,
Grease,305260,,,,
Green Zone,35053660,,,,
George Of The Jungle,105263257,,,,
The Brothers Grimm,37899638,,,,
The Girl Next Door,14589444,,,,
How the Grinch Stole Christmas,260044825,,,,
Grindhouse,25031037,,,,
Get Rich or Die Tryin',30981850,,,,
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,,,,
Groove,1115313,,,,
Grosse Point Blank,28084357,,,,
The Grudge 2,39143839,,,,
The Grudge,110359362,,,,
Grown Ups,161094625,,,,
Ghost Dog: Way of the Samurai,3330230,,,,
Guess Who,68915888,,,,
Get Carter,14967182,,,,
Get Over It,11560259,,,,
Veronica Guerin,1569918,,,,
The Guru,3051221,,,,
A Guy Thing,15543862,,,,
Ghost World,6217849,,,,
Halloween 2,33392973,,,,
Hairspray,118823091,,,,
Half Baked,17394881,,,,
Hamlet,4501094,,,,
Hamlet,1577287,,,,
Hannibal the Conqueror,0,,,,
Hancock,227946274,,,,
Happily N'Ever After,15849032,,,,
The Happening,64506874,,,,
"Happy, Texas",2039192,,,,
Hard Candy,1024640,,,,
Harsh Times,3337931,,,,
Harvard Man,56653,,,,
Harry Brown,1818681,,,,
The House Bunny,48237389,,,,
The Devil's Rejects,17044981,,,,
"House of 1,000 Corpses",12634962,,,,
The House of the Dead,10199354,,,,
Hidalgo,67286731,,,,
Hide and Seek,51100486,,,,
Hoodwinked,51386611,,,,
How Do You Know?,0,,,,
Head of State,37788228,,,,
Hedwig and the Angry Inch,3067312,,,,
Pooh's Heffalump Movie,18098433,,,,
He Got Game,21567853,,,,
Heist,23483357,,,,
Hellboy 2: The Golden Army,75986503,,,,
Hellboy,59623958,,,,
Raising Helen,37485528,,,,
A Home at the End of the World,1029017,,,,
Jet Li's Hero,53652140,,,,
Here on Earth,10494147,,,,
House of Flying Daggers,11050094,,,,
Head Over Heels,10397365,,,,
The Haunting,91188905,,,,
High Crimes,41543207,,,,
High Fidelity,27277055,,,,
Highlander: Endgame,12801190,,,,
High Heels and Low Lifes,226792,,,,
High School Musical 3: Senior Year,90556401,,,,
The History Boys,2730296,,,,
A History of Violence,31493782,,,,
Hitch,177784257,,,,
Hitman,39687694,,,,
Harold & Kumar Escape from Guantanamo Bay,38108728,,,,
Harold & Kumar Go to White Castle,18225165,,,,
Held Up,4714090,,,,
The Hills Have Eyes II,20804166,,,,
The Hills Have Eyes,41778863,,,,
How to Lose Friends & Alienate People,2775593,,,,
Half Past Dead,15567860,,,,
Halloween: H2O,55041738,,,,
Halloween: Resurrection,30259652,,,,
Holy Man,12069719,,,,
Milk,31841299,,,,
Hamlet 2,4886216,,,,
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781,,,,
Home on the Range,50026353,,,,
Hannibal Rising,27669725,,,,
The Hangover,277322503,,,,
Hanging Up,36037909,,,,
The Hoax,7164995,,,,
Holes,67383924,,,,
The Holiday,63280000,,,,
Hollow Man,73209340,,,,
Holy Girl,304124,,,,
Home Fries,10513979,,,,
Honey,30272254,,,,
The Honeymooners,12834849,,,,
Hoot,8117637,,,,
Hope Floats,60110313,,,,
Horton Hears a Who,154529439,,,,
Hostel: Part II,17544812,,,,
Hostage,34636443,,,,
Hostel,47326473,,,,
Hot Rod,13938332,,,,
The Hours,41675994,,,,
Life as a House,15652637,,,,
Bringing Down the House,132675402,,,,
House of Wax,32064800,,,,
How to Deal,14108518,,,,
How High,31155435,,,,
Def Jam's How To Be a Player,14010363,,,,
Harry Potter and the Chamber of Secrets,261987880,,,,
Harry Potter and the Prisoner of Azkaban,249538952,,,,
Harry Potter and the Goblet of Fire,290013036,,,,
Harry Potter and the Order of the Phoenix,292004738,,,,
Harry Potter and the Half-Blood Prince,301959197,,,,
Harry Potter and the Sorcerer's Stone,317557891,,,,
Happy Feet,198000317,,,,
Hercules,99112101,,,,
Hardball,40222729,,,,
Hard Rain,19870567,,,,
The Horse Whisperer,75383563,,,,
The Heart of Me,196067,,,,
Casa de Areia,539285,,,,
Sorority Row,11965282,,,,
Hart's War,19076815,,,,
The Hitchhiker's Guide to the Galaxy,51019112,,,,
High Tension,3681066,,,,
Hot Fuzz,23618786,,,,
Human Traffic,104257,,,,
How to Train Your Dragon,217581231,,,,
I Heart Huckabees,12784713,,,,
Hulk,132177234,,,,
The Incredible Hulk,134806913,,,,
The Hunchback of Notre Dame,100138851,,,,
The Hunted,34234008,,,,
Hurricane Streets,334041,,,,
The Hurt Locker,14700000,,,,
Hustle & Flow,22202809,,,,
Starsky & Hutch,88200225,,,,
Hollywood Ending,4839383,,,,
Hollywood Homicide,30207785,,,,
Whatever it Takes,8735529,,,,
Ice Age: The Meltdown,195330621,,,,
Ice Age: Dawn of the Dinosaurs,196573705,,,,
Ice Age,176387405,,,,
Ice Princess,24381334,,,,
The Ice Storm,8038061,,,,
I Come with the Rain,0,,,,
Identity,52131264,,,,
An Ideal Husband,18542974,,,,
Idlewild,12669914,,,,
Igby Goes Down,4777465,,,,
Igor,19528188,,,,
I Got the Hook-Up!,10317779,,,,
Idle Hands,4023741,,,,
Imaginary Heroes,228524,,,,
I Still Know What You Did Last Summer,40020622,,,,
I Know What You Did Last Summer,72250091,,,,
"I Love You, Beth Cooper",14800725,,,,
The Illusionist,39868642,,,,
But I'm a Cheerleader,2205627,,,,
The Imaginarium of Doctor Parnassus,7689458,,,,
Imagine Me & You,672243,,,,
Imagine That,16123323,,,,
Impostor,6114237,,,,
Inception,285630280,,,,
In the Cut,4717455,,,,
In Too Deep,14026509,,,,
IndigËnes,320700,,,,
Indiana Jones and the Kingdom of the Crystal Skull,317023851,,,,
In Dreams,12017369,,,,
Infamous,1151330,,,,
The Informant,33316821,,,,
The Informers,315000,,,,
Inkheart,17303424,,,,
In & Out,63826569,,,,
I Now Pronounce You Chuck and Larry,119725280,,,,
Inside Man,88634237,,,,
The Insider,28965197,,,,
Insomnia,67263182,,,,
Inspector Gadget,97387965,,,,
Instinct,34105207,,,,
The Invention of Lying,18451251,,,,
The Invasion,15074191,,,,
Ira and Abby,221096,,,,
"I, Robot",144801023,,,,
Iron Man 2,312128345,,,,
Iron Man,318604126,,,,
The Iron Giant,23159305,,,,
Obsluhoval jsem anglickÈho kr·le,617228,,,,
The Island,35818913,,,,
Isn't She Great,2954405,,,,
I Spy,33561137,,,,
The Italian Job,106126012,,,,
I Think I Love My Wife,12559771,,,,
Jack Frost,34645374,,,,
Jackie Brown,39673162,,,,
The Jackal,54956941,,,,
The Jacket,6301131,,,,
Jakob the Liar,4956401,,,,
Jarhead,62647540,,,,
Jawbreaker,3076820,,,,
The World is Not Enough,126930660,,,,
Die Another Day,160942139,,,,
Casino Royale,167365000,,,,
Quantum of Solace,169368427,,,,
Jennifer's Body,16204793,,,,
Jackass: Number Two,72778712,,,,
Jackass: The Movie,64282312,,,,
Journey to the Center of the Earth,101704370,,,,
Joe Dirt,27087695,,,,
The Curse of the Jade Scorpion,7496522,,,,
Jeepers Creepers,37904175,,,,
Johnny English,28013509,,,,
Jeepers Creepers II,35623801,,,,
The Assassination of Jesse James by the Coward Robert Ford,3909149,,,,
Johnson Family Vacation,31203964,,,,
Jersey Girl,25266129,,,,
The Jimmy Show,703,,,,
Jindabyne,399879,,,,
Jackpot,44452,,,,
Just Like Heaven,48318130,,,,
Just My Luck,17326650,,,,
The Messenger: The Story of Joan of Arc,14271297,,,,
The Jungle Book 2,47901582,,,,
Joe Somebody,22770864,,,,
Jonah Hex,10547117,,,,
John Q,71026631,,,,
Jonah: A VeggieTales Movie,25571351,,,,
The Joneses,1475746,,,,
Josie and the Pussycats,14252830,,,,
Joy Ride,21973182,,,,
Jerry Maguire,153952592,,,,
Jay and Silent Bob Strike Back,30059386,,,,
Jesus' Son,1282084,,,,
Being Julia,7739049,,,,
Julie & Julia,94125426,,,,
Jumper,80172128,,,,
Junebug,2678010,,,,
Juno,143495265,,,,
Jurassic Park 3,181166115,,,,
Just Looking,39852,,,,
Just Married,56127162,,,,
Juwanna Man,13571817,,,,
Freddy vs. Jason,82622655,,,,
K-19: The Widowmaker,35168966,,,,
Kate and Leopold,47095453,,,,
Kama Sutra,4109095,,,,
Kangaroo Jack,66723216,,,,
Kick-Ass,48071303,,,,
The Original Kings of Comedy,38168022,,,,
Kiss of the Dragon,36833473,,,,
Kung Fu Hustle,17104669,,,,
The Karate Kid,176591618,,,,
The Kentucky Fried Movie,15000000,,,,
Kicking and Screaming,52842724,,,,
Kill Bill: Volume 2,66207920,,,,
Kill Bill: Volume 1,70098138,,,,
Kingdom Come,23247539,,,,
Kingdom of Heaven,47398413,,,,
Kinsey,10214647,,,,
Kissing Jessica Stein,7025722,,,,
Kiss the Girls,60527873,,,,
King Kong,218080025,,,,
Knocked Up,148761765,,,,
Knight and Day,76373029,,,,
The Kingdom,47467250,,,,
Black Knight,33422806,,,,
Knockaround Guys,11660180,,,,
Knowing,79957634,,,,
Knock Off,10319915,,,,
K-PAX,50315140,,,,
Christmas with the Kranks,73701902,,,,
King's Ransom,4008527,,,,
"Kiss Kiss, Bang Bang",4235837,,,,
A Knight's Tale,56083966,,,,
The Kite Runner,15800078,,,,
Kundun,5686694,,,,
Kung Pow: Enter the Fist,16033556,,,,
L.A. Confidential,64604977,,,,
Law Abiding Citizen,73357727,,,,
Ladder 49,74541707,,,,
The Ladykillers,39692139,,,,
Lady in the Water,42285169,,,,
The Lake House,52330111,,,,
Lakeview Terrace,39263506,,,,
The Ladies Man,13592872,,,,
Land of the Lost,49438370,,,,
Changing Lanes,66790248,,,,
Lars and the Real Girl,5956480,,,,
L'auberge espagnole,3895664,,,,
Laws of Attraction,17848322,,,,
Little Black Book,20422207,,,,
Layer Cake,2339957,,,,
Larry the Cable Guy: Health Inspector,15680099,,,,
Little Children,5463019,,,,
Save the Last Dance,91038276,,,,
George A. Romero's Land of the Dead,20700082,,,,
Left Behind,4221341,,,,
Legion,40122938,,,,
I am Legend,256393010,,,,
Leatherheads,31373938,,,,
Life Before Her Eyes,303439,,,,
Letters from Iwo Jima,13756082,,,,
"Life, or Something Like It",14448589,,,,
Last Holiday,38399961,,,,
The Hurricane,50699241,,,,
Liar Liar,181410615,,,,
Equilibrium,1190018,,,,
Chasing Liberty,12189514,,,,
The Libertine,4835065,,,,
L.I.E.,1138836,,,,
The Life Aquatic with Steve Zissou,24006726,,,,
The Life of David Gale,19694635,,,,
Life,64062587,,,,
Like Mike,51432423,,,,
Lilo & Stitch,145771527,,,,
Limbo,2016687,,,,
Light It Up,5871603,,,,
Living Out Loud,12905901,,,,
The Lizzie McGuire Movie,42734455,,,,
Letters to Juliet,53032453,,,,
Lucky Break,54606,,,,
The Last King of Scotland,17606684,,,,
Lolita,1147784,,,,
Love Lisa,211724,,,,
Little Miss Sunshine,59891098,,,,
In the Land of Women,11052958,,,,
Lions for Lambs,14998070,,,,
London,12667,,,,
How to Lose a Guy in 10 Days,105807520,,,,
Loser,15464026,,,,
The Losers,23591432,,,,
The Lost City,2484186,,,,
Lost In Space,69117629,,,,
Lost and Found,6552255,,,,
Lottery Ticket,23602581,,,,
Love and Basketball,27441122,,,,
Love Jones,12554569,,,,
The Love Letter,8322608,,,,
Lovely and Amazing,4210379,,,,
The Lord of the Rings: The Two Towers,341784377,,,,
The Lord of the Rings: The Return of the King,377027325,,,,
The Lord of the Rings: The Fellowship of the Ring,314776170,,,,
Lord of War,24149632,,,,
"Lock, Stock and Two Smoking Barrels",3897569,,,,
The Last Shot,463730,,,,
Lonesome Jim,154187,,,,
The Last Legion,5932060,,,,
The Last Samurai,111110575,,,,
The Last Sin Eater,388390,,,,
The Last Song,62950384,,,,
Love Stinks,2793776,,,,
Lost in Translation,44585453,,,,
Last Orders,2326407,,,,
Lost Souls,16779636,,,,
The Last Station,6616974,,,,
The Lost World: Jurassic Park,229086679,,,,
License to Wed,43799818,,,,
Looney Tunes: Back in Action,20950820,,,,
Letters to God,2848587,,,,
Lethal Weapon 4,130444603,,,,
Little Man,58636047,,,,
The Lucky Ones,266967,,,,
Lucky You,5755286,,,,
Luminarias,428535,,,,
Se jie,4604982,,,,
Luther,5781086,,,,
Love Actually,59472278,,,,
The Little Vampire,13555988,,,,
The Lovely Bones,44028238,,,,
Herbie: Fully Loaded,66010682,,,,
For Love of the Game,35188640,,,,
Leaves of Grass,20987,,,,
Love Happens,22965110,,,,
Just Visiting,4777007,,,,
Das Leben der Anderen,11284657,,,,
Love Ranch,134904,,,,
La MÙme,10299782,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,,,,
The Longest Yard,158119460,,,,
Mad City,10561038,,,,
Made,5308707,,,,
Madagascar: Escape 2 Africa,180010950,,,,
Madagascar,193595521,,,,
Mad Hot Ballroom,8117961,,,,
Madison,517262,,,,
Jane Austen's Mafia,19843795,,,,
Paul Blart: Mall Cop,146336178,,,,
A Man Apart,26500000,,,,
Man on Fire,77906816,,,,
Man of the House,19699706,,,,
Man on the Moon,34580635,,,,
The Man Who Knew Too Little,13801755,,,,
Marci X,1646664,,,,
Married Life,1506998,,,,
The Marine,18844784,,,,
Son of the Mask,17018422,,,,
The Matador,12578537,,,,
The Matrix,171479930,,,,
Max Keeble's Big Move,17292381,,,,
May,145540,,,,
Murderball,1531154,,,,
Vicky Cristina Barcelona,23213577,,,,
My Big Fat Greek Wedding,241438208,,,,
My Best Friend's Girl,19219250,,,,
Monkeybone,5409517,,,,
Meet the Browns,41975388,,,,
My Bloody Valentine,51545952,,,,
Wu ji,669625,,,,
McHale's Navy,4408420,,,,
The Martian Child,7500310,,,,
The Manchurian Candidate,65948711,,,,
Mickey Blue Eyes,33864342,,,,
Michael Clayton,49033882,,,,
Master and Commander: The Far Side of the World,93926386,,,,
Nanny McPhee and the Big Bang,27776620,,,,
Nanny McPhee,47279279,,,,
Mean Creek,603951,,,,
The Medallion,22108977,,,,
Meet Dave,11803254,,,,
Million Dollar Baby,100492203,,,,
Madea Goes To Jail,90508336,,,,
Made of Honor,46012734,,,,
Mean Girls,86047227,,,,
Mean Machine,92723,,,,
Meet the Deedles,4356126,,,,
"Me, Myself & Irene",90570999,,,,
Memoirs of a Geisha,57010853,,,,
Men in Black,250690539,,,,
Men of Honor,48814909,,,,
Memento,25544867,,,,
Mercury Rising,32983332,,,,
Mercy Streets,173599,,,,
Joyeux NoÎl,1054361,,,,
Message in a Bottle,52880016,,,,
Meet Joe Black,44650003,,,,
Maria Full of Grace,6529624,,,,
Megiddo: Omega Code 2,6047691,,,,
Magnolia,22450975,,,,
The Men Who Stare at Goats,32428195,,,,
Marilyn Hotchkiss' Ballroom Dancing and Charm School,349132,,,,
Men in Black 2,190418803,,,,
Micmacs,1237269,,,,
The House of Mirth,3041803,,,,
Miss Congeniality 2: Armed and Fabulous,48478006,,,,
Mission: Impossible 2,215409889,,,,
Mission: Impossible III,133501348,,,,
Miss Congeniality,106807667,,,,
The Missing,26900336,,,,
Mighty Joe Young,50632037,,,,
The Majestic,27796042,,,,
Martin Lawrence Live: RunTelDat,19184820,,,,
Malibu's Most Wanted,34308901,,,,
Must Love Dogs,43894863,,,,
My Life Without Me,432360,,,,
Mission to Mars,60874615,,,,
MirrorMask,864959,,,,
Mumford,4559569,,,,
Mindhunters,4476235,,,,
Captain Corelli's Mandolin,25528495,,,,
Manderlay,74205,,,,
Midnight in the Garden of Good and Evil,25078937,,,,
The Man in the Iron Mask,56968169,,,,
Monster-in-Law,82931301,,,,
Moonlight Mile,6830957,,,,
Mona Lisa Smile,63803100,,,,
Monster's Ball,31273922,,,,
MoliËre,635733,,,,
Molly,17396,,,,
Monster House,73661010,,,,
Mononoke-hime,2374107,,,,
Monsoon Wedding,13876974,,,,
Monster,34469210,,,,
"Monsters, Inc.",255870172,,,,
Mondays in the Sun,146402,,,,
Money Talks,41076865,,,,
Moon,5010163,,,,
Welcome to Mooseport,14469428,,,,
Morvern Callar,267194,,,,
The Mothman Prophecies,35228696,,,,
Moulin Rouge,57386369,,,,
Me and Orson Welles,1190003,,,,
Meet the Fockers,279167575,,,,
Meet the Parents,166225040,,,,
Mr. 3000,21800302,,,,
The Miracle,64378093,,,,
Minority Report,132024714,,,,
The Fantastic Mr. Fox,20999103,,,,
Mr. Nice Guy,12716953,,,,
Mrs. Henderson Presents,11036366,,,,
Mortal Kombat: Annihilation,35927406,,,,
Marvin's Room,12803305,,,,
Miracle at St. Anna,7916887,,,,
Mouse Hunt,61894591,,,,
Masked and Anonymous,533344,,,,
Miss Potter,3005605,,,,
The Missing Person,17896,,,,
Meet the Spartans,38233676,,,,
"Mystery, Alaska",8891623,,,,
Match Point,23089926,,,,
Mother and Child,1105266,,,,
A Mighty Heart,9176787,,,,
Metropolis (2002),673414,,,,
The Matrix Reloaded,281553689,,,,
The Matrix Revolutions,139259759,,,,
The Mudge Boy,62544,,,,
Mulan,120620254,,,,
Mulholland Drive,7219578,,,,
The Mummy,155385488,,,,
The Mummy Returns,202007640,,,,
The Mummy: Tomb of the Dragon Emperor,102491776,,,,
Munich,47379090,,,,
Muppets From Space,16304786,,,,
Murder by Numbers,31874869,,,,
The Muse,11614954,,,,
Night at the Museum,250863268,,,,
The Musketeer,27053815,,,,
Music and Lyrics,50572589,,,,
The Merchant of Venice,3765585,,,,
Miami Vice,63478838,,,,
Monsters vs. Aliens,198351526,,,,
A Mighty Wind,17583468,,,,
The Mexican,66808615,,,,
My Best Friend's Wedding,126813153,,,,
"Dude, Where's My Car?",46729374,,,,
My Dog Skip,34099640,,,,
My Date With Drew,181041,,,,
Me and You and Everyone We Know,3885134,,,,
My Favorite Martian,36850101,,,,
My Fellow Americans,22331846,,,,
My Sister's Keeper,49200230,,,,
My Summer of Love,1000915,,,,
The Mystery Men,29762011,,,,
Mystic River,90135191,,,,
